Date,Open,High,Low,Close,Adj Close,Volume
2024-03-04,3335.149902,3349.350098,3310.350098,3316.300049,3316.300049,50142
2024-03-05,3317.800049,3334.000000,3295.300049,3308.699951,3308.699951,25554
2024-03-06,3325.000000,3325.000000,3183.050049,3233.399902,3233.399902,62094
2024-03-07,3256.949951,3264.399902,3221.000000,3226.250000,3226.250000,34890
2024-03-11,3238.350098,3259.250000,3200.699951,3207.000000,3207.000000,34094
2024-03-12,3207.050049,3220.000000,3112.000000,3120.649902,3120.649902,54874
2024-03-13,3129.300049,3139.000000,2851.000000,2904.949951,2904.949951,153050
2024-03-14,2911.050049,3099.000000,2878.750000,3087.699951,3087.699951,125889
2024-03-15,3108.000000,3141.050049,3059.949951,3132.500000,3132.500000,132896
2024-03-18,3035.050049,3121.750000,2976.000000,3110.399902,3110.399902,223743
2024-03-19,3127.000000,3164.649902,3041.550049,3052.500000,3052.500000,61585
2024-03-20,3065.550049,3080.699951,3022.000000,3051.250000,3051.250000,45644
2024-03-21,3094.449951,3106.000000,3059.000000,3065.500000,3065.500000,36536
2024-03-22,3077.949951,3128.350098,3053.399902,3105.449951,3105.449951,38834
2024-03-26,3104.850098,3171.250000,3090.750000,3106.600098,3106.600098,30294
2024-03-27,3111.050049,3139.100098,3108.000000,3122.250000,3122.250000,24261
2024-03-28,3123.500000,3235.300049,3098.199951,3193.550049,3193.550049,153143
2024-04-01,3220.649902,3290.000000,3210.000000,3251.050049,3251.050049,47654
2024-04-02,3264.449951,3283.399902,3240.000000,3267.649902,3267.649902,28814
2024-04-03,3259.850098,3259.850098,3221.050049,3235.399902,3235.399902,30633
2024-04-04,3240.050049,3273.699951,3202.000000,3211.100098,3211.100098,79821
2024-04-05,3211.100098,3233.550049,3178.000000,3221.850098,3221.850098,62445
2024-04-08,3248.949951,3248.949951,3198.399902,3224.050049,3224.050049,24479
2024-04-09,3234.149902,3250.000000,3186.000000,3197.050049,3197.050049,25870
2024-04-10,3208.550049,3253.649902,3193.199951,3242.149902,3242.149902,21775
2024-04-12,3205.649902,3247.000000,3204.250000,3208.750000,3208.750000,49223
2024-04-15,3144.600098,3180.000000,3103.000000,3148.600098,3148.600098,107061
2024-04-16,3109.949951,3150.000000,3098.250000,3105.949951,3105.949951,87573
2024-04-18,3129.250000,3145.050049,3010.000000,3020.000000,3020.000000,94139
2024-04-19,3006.500000,3056.250000,2960.699951,3025.699951,3025.699951,103856
2024-04-22,3059.449951,3077.500000,3025.699951,3064.600098,3064.600098,82564
2024-04-23,3055.350098,3091.600098,3043.500000,3063.250000,3063.250000,64147
2024-04-24,3065.350098,3087.850098,3040.449951,3042.850098,3042.850098,22535
2024-04-25,3045.350098,3121.350098,3026.800049,3116.399902,3116.399902,40285
2024-04-26,3101.050049,3130.550049,3066.350098,3079.899902,3079.899902,60459
2024-04-29,3119.000000,3119.000000,3052.000000,3079.550049,3079.550049,29658
2024-04-30,3097.850098,3108.000000,3045.100098,3054.300049,3054.300049,28585
2024-05-02,3068.850098,3119.550049,3015.449951,3037.149902,3037.149902,82362
2024-05-03,3034.600098,3044.149902,2976.000000,2993.300049,2993.300049,81367
2024-05-06,2990.449951,2996.000000,2850.000000,2875.149902,2875.149902,223282
2024-05-07,2887.000000,2905.000000,2822.100098,2835.399902,2835.399902,116682
2024-05-08,2863.850098,2890.899902,2821.000000,2860.100098,2860.100098,41253
2024-05-09,2898.500000,2898.500000,2757.649902,2766.750000,2766.750000,62503
2024-05-10,2791.250000,2809.949951,2761.050049,2799.199951,2799.199951,71900
2024-05-13,2813.649902,2889.000000,2790.899902,2880.500000,2880.500000,110417
2024-05-14,2897.850098,3045.000000,2876.000000,3037.050049,3037.050049,224335
2024-05-15,3042.649902,3118.500000,3040.000000,3052.600098,3052.600098,113373
2024-05-16,3054.050049,3077.699951,2975.850098,3040.899902,3040.899902,132328
2024-05-17,3044.949951,3089.600098,3015.699951,3060.250000,3060.250000,42412
2024-05-21,3060.050049,3174.750000,3034.949951,3115.750000,3115.750000,238452
2024-05-22,3130.000000,3145.000000,3075.000000,3139.600098,3139.600098,47214
2024-05-23,3150.149902,3409.050049,3135.699951,3391.199951,3391.199951,337401
2024-05-24,3403.000000,3456.250000,3355.500000,3384.649902,3384.649902,341745
2024-05-27,3364.949951,3364.949951,3267.949951,3288.100098,3288.100098,127720
2024-05-28,3313.899902,3328.800049,3230.899902,3244.350098,3244.350098,79442
2024-05-29,3244.350098,3321.000000,3211.649902,3259.199951,3259.199951,126174
2024-05-30,3259.949951,3274.000000,3175.000000,3193.100098,3193.100098,128929
2024-05-31,3225.699951,3421.100098,3222.600098,3416.100098,3416.100098,250220
