Date,Open,High,Low,Close,Adj Close,Volume
2024-02-28,1420.150024,1424.199951,1404.000000,1409.400024,1390.413330,12660993
2024-02-29,1402.099976,1410.400024,1397.300049,1403.400024,1384.494141,26647850
2024-03-01,1400.000000,1432.750000,1400.000000,1430.750000,1411.475708,17369449
2024-03-04,1430.949951,1437.000000,1424.300049,1432.699951,1413.399414,17808237
2024-03-05,1422.000000,1443.000000,1421.650024,1440.849976,1421.439575,18995836
2024-03-06,1433.550049,1452.849976,1433.550049,1442.599976,1423.166016,21204765
2024-03-07,1445.500000,1451.050049,1441.400024,1446.099976,1426.618896,24674023
2024-03-11,1430.000000,1445.949951,1423.000000,1427.800049,1408.565430,25265547
2024-03-12,1434.000000,1464.000000,1429.250000,1459.550049,1439.887695,32709227
2024-03-13,1465.500000,1471.599976,1450.099976,1460.400024,1440.726318,31533727
2024-03-14,1462.099976,1466.000000,1444.300049,1455.449951,1435.842896,26216079
2024-03-15,1450.000000,1459.300049,1442.250000,1452.650024,1433.080688,71806902
2024-03-18,1447.000000,1456.000000,1435.800049,1446.050049,1426.569580,10718928
2024-03-19,1435.500000,1452.400024,1435.500000,1449.349976,1429.825073,18091797
2024-03-20,1449.050049,1451.650024,1424.650024,1431.050049,1411.771729,21803047
2024-03-21,1442.599976,1451.250000,1438.300049,1445.750000,1426.273560,14461430
2024-03-22,1441.000000,1450.750000,1437.750000,1442.849976,1423.412598,22990163
2024-03-26,1427.199951,1437.949951,1422.150024,1425.400024,1406.197754,28422145
2024-03-27,1423.550049,1447.949951,1421.250000,1440.699951,1421.291626,31084334
2024-03-28,1440.699951,1460.500000,1440.699951,1447.900024,1428.394653,27796071
2024-04-01,1458.000000,1473.800049,1455.599976,1470.500000,1450.690186,12599785
2024-04-02,1465.150024,1494.849976,1463.250000,1480.150024,1460.210205,20612723
2024-04-03,1472.099976,1495.650024,1471.400024,1482.300049,1462.331299,22792193
2024-04-04,1504.000000,1530.000000,1504.000000,1527.599976,1507.020996,44467533
2024-04-05,1539.000000,1554.500000,1530.150024,1549.550049,1528.675293,29527951
2024-04-08,1554.949951,1557.250000,1541.550049,1546.599976,1525.765015,10241470
2024-04-09,1554.849976,1554.849976,1540.300049,1548.550049,1527.688721,10942247
2024-04-10,1549.900024,1549.900024,1532.949951,1536.349976,1515.653076,13903700
2024-04-12,1521.000000,1529.849976,1513.449951,1518.949951,1498.487427,20542104
2024-04-15,1497.550049,1510.000000,1492.050049,1494.699951,1474.564087,11707624
2024-04-16,1487.000000,1512.900024,1482.250000,1509.250000,1488.918213,10372443
2024-04-18,1509.800049,1518.849976,1491.050049,1494.699951,1474.564087,17117442
2024-04-19,1486.550049,1534.949951,1480.250000,1531.300049,1510.671143,17288217
2024-04-22,1557.400024,1557.400024,1508.300049,1512.199951,1491.828369,21149219
2024-04-23,1526.300049,1526.500000,1503.250000,1507.599976,1487.290405,13413530
2024-04-24,1515.000000,1521.750000,1509.050049,1511.699951,1491.335083,11220790
2024-04-25,1506.250000,1519.699951,1506.250000,1510.750000,1490.397949,17722602
2024-04-26,1519.800049,1528.000000,1505.550049,1509.800049,1489.460815,12427347
2024-04-29,1515.000000,1534.449951,1506.550049,1529.500000,1508.895386,18046675
2024-04-30,1529.199951,1539.500000,1514.900024,1520.099976,1499.621948,26153691
2024-05-02,1522.000000,1537.000000,1520.349976,1532.250000,1511.608276,16737503
2024-05-03,1533.250000,1540.599976,1507.199951,1519.599976,1499.128662,15932621
2024-05-06,1522.000000,1534.500000,1517.150024,1522.650024,1502.137695,14396698
2024-05-07,1521.949951,1524.050049,1504.150024,1506.150024,1485.859985,14240301
2024-05-08,1495.949951,1496.949951,1480.349976,1482.650024,1462.676514,20843931
2024-05-09,1474.949951,1486.750000,1445.300049,1447.500000,1428.000000,23140639
2024-05-10,1439.000000,1451.949951,1426.800049,1437.900024,1437.900024,13638304
2024-05-13,1432.000000,1459.800049,1430.300049,1455.250000,1455.250000,13523601
2024-05-14,1452.250000,1465.500000,1450.300049,1460.949951,1460.949951,12832571
2024-05-15,1459.699951,1459.699951,1435.800049,1438.500000,1438.500000,19465998
2024-05-16,1446.050049,1462.550049,1435.500000,1460.250000,1460.250000,17472618
2024-05-17,1446.199951,1468.000000,1446.199951,1464.099976,1464.099976,10460095
2024-05-21,1450.099976,1469.699951,1450.099976,1458.800049,1458.800049,21884989
2024-05-22,1457.849976,1465.599976,1448.150024,1459.199951,1459.199951,19998139
2024-05-23,1458.650024,1495.650024,1457.050049,1492.599976,1492.599976,20430960
2024-05-24,1487.500000,1519.900024,1486.000000,1517.199951,1517.199951,15530103
2024-05-27,1523.349976,1545.000000,1519.050049,1527.699951,1527.699951,14692720
2024-05-28,1530.099976,1536.050049,1525.099976,1530.050049,1530.050049,7237221
